index_id,candidate_id,confidence_score,need_judge
0,10500,5,False
1,10501,5,False
2,10502,5,False
3,10503,5,False
4,10504,5,False
5,10505,5,False
6,10506,5,False
7,10507,5,False
8,10508,5,False
9,10509,5,False
10,10510,5,False
11,10511,5,False
12,10512,5,False
13,10513,5,False
14,10514,5,False
15,-1,1,True
16,10516,5,False
17,10517,5,False
18,10518,5,False
19,10519,5,False
20,10520,5,False
21,10521,5,False
22,10522,5,False
23,10523,5,False
24,10524,5,False
25,10525,5,False
26,10526,5,False
27,10527,5,False
28,10528,5,False
29,10529,5,False
30,10530,5,False
31,10531,5,False
32,10532,5,False
33,10533,5,False
34,10534,5,False
35,10535,5,False
36,10536,5,False
37,10537,5,False
38,10538,5,False
39,10539,5,False
40,10540,5,False
41,10541,5,False
42,10542,5,False
43,10543,5,False
44,10544,5,False
45,10545,5,False
46,10546,5,False
47,10547,5,False
48,10548,5,False
49,10549,5,False
50,10550,5,False
51,10551,5,False
52,10552,5,False
53,10553,5,False
54,10554,5,False
55,10555,5,False
56,10556,5,False
57,10557,5,False
58,-1,1,True
59,10559,5,False
60,,1,False
61,10561,5,False
62,10562,5,False
63,36241,2,True
64,14767,1,True
65,10565,5,False
66,10566,5,False
67,10567,5,False
68,10568,5,False
69,10569,5,False
70,10570,5,False
72,10572,5,False
73,10573,5,False
74,10574,5,False
75,10575,5,False
76,10576,5,False
77,10577,5,False
78,10578,5,False
79,10579,5,False
80,10580,5,False
81,10581,5,False
82,30578,5,False
83,36009,1,True
84,19421,1,True
85,10585,5,False
86,10586,5,False
87,10587,5,False
88,10588,5,False
89,-1,1,True
90,10590,5,False
91,10591,5,False
92,20778,1,True
93,10593,5,False
94,10594,5,False
95,10595,5,False
96,10596,5,False
97,10597,5,False
98,10598,5,False
99,10599,5,False
100,10600,5,False
101,-1,1,True
102,10602,5,False
103,10603,5,False
104,10604,5,False
105,10605,5,False
106,10606,5,False
107,10607,5,False
108,10608,5,False
109,10609,5,False
110,10610,5,False
111,10611,5,False
112,19960,1,True
113,10613,5,False
114,10614,5,False
115,10615,5,False
116,10616,5,False
117,10617,5,False
118,10618,5,False
119,10619,5,False
120,10620,5,False
121,10621,5,False
122,10622,5,False
123,10623,5,False
124,10624,5,False
125,10625,5,False
126,10626,5,False
127,10627,5,False
128,10628,5,False
129,10629,5,False
130,10630,5,False
131,10631,5,False
132,10632,5,False
133,10633,5,False
134,10634,5,False
135,10635,5,False
136,10636,5,False
137,10637,5,False
138,10638,5,False
139,10639,5,False
140,10640,5,False
141,10641,5,False
142,10642,5,False
143,10643,5,False
144,10644,5,False
145,10645,5,False
146,10646,5,False
147,16342,1,True
148,10648,5,False
149,10649,5,False
150,10650,5,False
151,10651,5,False
152,10652,5,False
153,10653,5,False
154,10654,5,False
155,10655,5,False
156,10656,5,False
157,10657,5,False
158,10658,5,False
159,10659,5,False
160,10660,5,False
161,10661,5,False
162,10662,5,False
163,10663,5,False
164,10664,5,False
165,10665,5,False
166,10666,5,False
167,10667,5,False
168,10668,5,False
169,10669,5,False
170,10670,5,False
171,10671,5,False
172,10672,5,False
173,10673,5,False
174,10674,3,False
