index_id,candidate_id,confidence,need_judge
1337,11837,5,False
1339,11839,5,False
1340,11840,5,False
1346,11846,5,False
1347,11847,5,False
1349,11849,5,False
1351,11851,5,False
1353,11853,5,False
1365,11865,5,False
1366,11866,5,False
1367,11867,5,False
1374,11874,5,False
1380,11325,1,True
1381,11881,5,False
1382,11882,5,False
1383,11883,5,False
1384,11884,5,False
1390,11890,5,False
1394,11894,5,False
1396,11896,5,False
1398,11898,5,False
1399,11899,5,False
1400,11900,5,False
1401,11901,5,False
1409,11909,5,False
1412,11912,5,False
1414,11914,5,False
1418,11918,5,False
1419,11919,5,False
1421,11921,5,False
1425,11925,5,False
1427,11927,5,False
1428,11928,5,False
1429,11929,5,False
1430,11930,5,False
1431,11931,5,False
1432,11932,5,False
1433,11933,5,False
1435,11935,5,False
1441,11941,5,False
1442,11942,5,False
1443,11943,5,False
1447,11947,5,False
1449,11949,5,False
1455,11955,5,False
1457,11957,5,False
1459,11959,5,False
1466,11966,5,False
1470,11970,5,False
1471,11971,5,False
1472,11191,1,True
1475,11975,5,False
1479,11979,5,False
1484,11984,5,False
1486,11986,5,False
1488,10967,1,True
1492,11992,5,False
1493,11993,5,False
1498,11998,5,False
1500,12000,5,False
1503,16166,1,True
1505,12005,5,False
1508,12008,5,False
1511,12011,5,False
1512,12012,5,False
1513,12013,5,False
1514,12014,5,False
1516,12016,5,False
1518,12018,5,False
1520,12020,5,False
1522,12022,5,False
1523,12023,5,False
1524,12024,5,False
1525,12025,5,False
1526,12026,5,False
1530,12030,5,False
1535,12035,5,False
1536,12036,5,False
1539,12039,5,False
1541,12041,5,False
1543,12043,5,False
1549,12049,5,False
1552,12052,5,False
1557,12057,5,False
1559,12059,5,False
1561,12061,5,False
1562,12062,5,False
1563,12063,5,False
1565,12065,5,False
1566,12066,5,False
1568,12068,5,False
1572,12072,5,False
1574,12074,5,False
1584,12084,5,False
1587,12087,5,False
1591,12091,5,False
1593,12093,5,False
1595,32989,1,True
1601,12101,5,False
1604,12104,5,False
1606,12106,5,False
1607,12107,5,False
1614,12114,5,False
1615,12115,5,False
1617,12117,5,False
1626,12126,5,False
1629,12129,5,False
1631,12131,5,False
1635,12135,5,False
1636,12136,5,False
1640,12140,5,False
1645,18994,1,True
1647,12147,5,False
1649,12149,5,False
1650,12150,5,False
1651,12151,5,False
1655,12155,5,False
1656,12156,5,False
1658,36445,1,True
1663,12163,5,False
1664,12164,5,False
1665,12165,5,False
1667,12167,5,False
1668,12168,5,False
1672,12172,5,False
1674,12174,5,False
1676,12176,5,False
1678,12178,5,False
1679,12179,5,False
1681,12181,5,False
1683,12183,5,False
1689,12189,5,False
1691,12191,5,False
1692,12192,5,False
1700,12200,5,False
1702,12202,5,False
1703,12203,5,False
1710,12210,5,False
1712,12212,5,False
1714,12214,1,True
1715,12215,5,False
1721,12221,5,False
1722,12222,5,False
1725,12225,5,False
1726,12226,5,False
1729,12229,5,False
1732,12232,5,False
1733,12233,5,False
1734,12234,5,False
1735,12235,5,False
1744,12244,5,False
1745,12245,5,False
1747,12247,5,False
1749,12249,5,False
1756,12256,5,False
1758,12258,5,False
1762,12262,5,False
1771,12271,5,False
1775,12275,5,False
1776,12276,5,False
1778,12278,5,False
1780,12280,5,False
1781,12281,5,False
1782,12282,5,False
1786,12286,5,False
1790,12290,5,False
1791,12291,5,False
1795,12295,5,False
1796,12296,5,False
1798,12298,1,True
1803,12303,5,False
1808,12308,5,False
1811,12311,5,False
1816,12316,1,True
1818,12318,5,False
1820,12320,5,False
1825,35271,1,True
1837,12337,5,False
1840,12340,5,False
1842,12342,5,False
1844,12344,5,False
1845,12345,5,False
1847,12347,5,False
1849,12349,5,False
1850,12350,5,False
1851,12351,5,False
1853,12353,5,False
1859,12359,5,False
1860,12360,5,False
1863,12363,5,False
1864,12364,5,False
1868,12368,5,False
1869,12369,5,False
1870,12370,5,False
1872,12372,5,False
1875,12375,5,False
1876,12376,5,False
1887,12387,5,False
1891,12391,5,False
1893,16739,1,True
1900,12400,5,False
1903,12403,5,False
1905,12405,5,False
1906,12406,5,False
1915,12415,5,False
1917,12417,5,False
1924,12424,5,False
1926,12426,5,False
1932,12432,5,False
1933,12433,5,False
1938,12438,5,False
1944,12444,5,False
1948,12448,5,False
1949,12449,5,False
1950,12450,5,False
1957,12457,5,False
1959,12459,5,False
1963,12463,5,False
1965,12465,5,False
1966,12466,5,False
1969,12469,5,False
1978,12478,5,False
1979,18086,1,True
1981,12481,5,False
1983,12483,5,False
1985,12485,5,False
1991,12491,5,False
1992,12492,5,False
1993,12493,5,False
1995,12495,5,False
1996,12496,5,False
1997,12497,5,False
1999,12499,5,False
2000,12500,5,False
2002,12502,5,False
2003,12503,5,False
2004,12504,5,False
2007,12507,5,False
2008,12508,5,False
2009,12509,5,False
2017,12517,5,False
2027,12527,5,False
2028,12528,5,False
2037,12537,5,False
2041,12541,5,False
2044,12544,5,False
2045,12545,1,True
2049,12549,5,False
2050,12550,5,False
2056,12556,5,False
2060,12560,5,False
2063,12563,5,False
2065,12565,1,True
2073,12573,5,False
2074,12574,5,False
2075,12575,5,False
2077,12577,5,False
2081,12581,5,False
2082,12582,5,False
2083,12583,5,False
2084,12584,5,False
2085,12585,5,False
2086,12586,5,False
2089,12589,5,False
2092,12592,5,False
2093,12593,5,False
2094,12594,5,False
2097,12597,5,False
2098,12598,5,False
2103,12603,5,False
2107,12607,5,False
2109,12609,5,False
2110,12610,5,False
2111,12611,5,False
2112,12612,5,False
2116,12616,5,False
2117,12617,5,False
2118,12618,5,False
2126,12626,5,False
2128,12628,5,False
2131,12631,5,False
2136,12636,5,False
2137,12637,1,True
2138,12638,5,False
2144,12644,5,False
2145,12645,5,False
2147,30741,1,True
2148,12648,5,False
2151,12651,5,False
2153,12653,5,False
2159,12659,5,False
2160,12660,5,False
2162,12662,5,False
2166,12666,5,False
2170,12670,5,False
2171,12671,5,False
2174,12674,5,False
2175,12675,5,False
2181,12681,5,False
2183,12683,5,False
2184,12684,5,False
2185,12685,5,False
2189,12689,5,False
2190,12690,5,False
2191,12691,5,False
2194,12694,5,False
2195,12695,5,False
2198,12698,5,False
2201,12701,5,False
2202,12702,5,False
2206,12706,5,False
2208,12708,5,False
2210,12710,5,False
2211,12711,5,False
2214,12714,5,False
2215,12715,5,False
2217,12717,5,False
2218,12718,5,False
2223,12723,5,False
2228,12728,5,False
2231,12731,5,False
2234,12734,5,False
2236,12736,5,False
2237,12737,1,True
2238,12738,5,False
2239,12739,5,False
2241,12741,5,False
2242,12742,5,False
2244,12744,1,True
2245,12745,5,False
2249,12749,5,False
2253,12753,5,False
2256,12756,5,False
2261,12761,1,True
2262,12762,5,False
2264,12764,5,False
2265,12765,5,False
2266,12766,5,False
2268,12768,5,False
2269,12769,5,False
2271,12771,5,False
2274,12774,5,False
2277,12777,5,False
2278,12778,5,False
2279,12779,5,False
2280,12780,5,False
2281,12781,5,False
2286,12786,5,False
2287,12787,5,False
2289,12789,5,False
2293,12793,5,False
2301,12801,5,False
2303,12803,5,False
2305,12805,5,False
2306,12806,5,False
2311,12811,5,False
2312,12812,5,False
2316,12816,5,False
2320,12820,5,False
2323,12823,5,False
2324,12824,5,False
2326,12826,5,False
2328,12828,5,False
2333,12833,5,False
2335,12835,5,False
2336,12836,5,False
2337,12837,5,False
2344,12844,5,False
2349,12849,5,False
2352,12852,5,False
2354,12854,5,False
2357,12857,5,False
2360,12860,5,False
2361,12861,5,False
2362,12862,5,False
2364,12864,5,False
2367,12867,1,True
2372,12872,5,False
2376,12876,5,False
2381,12881,5,False
2382,12882,5,False
2385,12885,5,False
2390,12890,5,False
2391,12891,5,False
2395,12895,1,True
2397,12897,5,False
2399,12899,5,False
2401,12901,5,False
2404,12904,5,False
2410,12910,5,False
2411,12911,5,False
2416,12916,5,False
2417,12917,5,False
2418,12918,5,False
2424,12924,5,False
2425,12925,5,False
2426,12926,5,False
2427,12927,5,False
2430,12930,5,False
2434,12934,5,False
2435,12935,5,False
2436,12936,5,False
2438,37064,1,True
2439,12939,5,False
2440,12940,5,False
2448,12948,5,False
2458,12958,5,False
2462,12962,1,True
2464,12964,5,False
2465,12965,5,False
2470,12970,5,False
2472,12972,5,False
2475,12975,5,False
2479,12979,5,False
2480,12980,5,False
2483,12983,5,False
2486,12986,5,False
2493,12993,5,False
2499,12999,5,False
2503,13003,5,False
2504,13004,5,False
2507,13007,5,False
2508,13008,5,False
2513,13013,5,False
2514,13014,5,False
2520,13020,5,False
2525,13025,5,False
2529,13029,5,False
2531,13031,5,False
2532,13032,5,False
2535,13035,5,False
2539,13039,5,False
2540,13040,5,False
2545,13045,1,True
2548,13048,5,False
2549,13049,5,False
2551,13051,5,False
2556,13056,5,False
2558,13058,5,False
2559,13059,5,False
2560,13060,5,False
2561,13061,5,False
2562,13062,5,False
2563,13063,5,False
2566,13066,5,False
2568,13068,5,False
2571,13071,5,False
2572,13072,5,False
2573,13073,5,False
2574,13074,5,False
2576,13076,5,False
2578,13078,1,True
2583,13083,5,False
2584,13084,5,False
2587,13087,1,True
2593,13093,5,False
2598,13098,5,False
2602,13102,1,True
2603,13103,5,False
2604,13104,5,False
2606,13106,5,False
2608,13108,5,False
2609,13109,5,False
2610,13110,5,False
2611,13111,1,True
2612,13112,5,False
2615,13115,5,False
2616,13116,5,False
2623,13123,5,False
2624,13124,5,False
2625,13125,5,False
2626,13126,5,False
2628,13128,5,False
2631,13131,5,False
2642,13142,5,False
2643,13143,5,False
2644,13144,5,False
2646,13146,5,False
2650,13150,5,False
2652,13152,5,False
2655,13155,5,False
2656,13156,5,False
2659,13159,5,False
2663,13163,5,False
2665,13165,5,False
2668,13168,5,False
2674,13174,5,False
2675,13175,5,False
2677,13177,5,False
2678,13178,1,True
2679,13179,5,False
2680,13180,5,False
2681,13181,5,False
2682,13182,5,False
2686,13186,5,False
2687,13187,5,False
2689,13189,5,False
2690,13190,1,True
2692,13192,5,False
2693,13193,5,False
